@relation MenIPPlaces
@attribute name string
@attribute Lap1 numeric
@attribute Lap2 numeric
@attribute Lap3 numeric
@attribute Lap4 numeric
@attribute Lap5 numeric
@attribute Lap6 numeric
@attribute Lap7 numeric
@attribute Lap8 numeric
@attribute Lap9 numeric
@attribute Lap10 numeric
@attribute Lap11 numeric
@attribute Lap12 numeric
@attribute Lap13 numeric
@attribute Lap14 numeric
@attribute Lap15 numeric
@attribute Lap16 numeric
@data
DavidO'LOUGHLIN,6,7,7,7,6,6,7,7,10,11,11,12,13,13,12,12
LokCHEUNG,11,14,16,16,16,14,13,13,12,12,12,13,12,11,9,9
GlennOSHEA,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1
JenningHUIZENGA,9,11,13,12,11,11,9,8,7,7,7,7,6,6,5,5
VitaliySHCHEDOV,10,9,11,11,10,9,10,10,8,8,9,9,11,12,13,13
DominiqueSTARK,12,12,12,13,15,16,16,19,19,19,20,20,20,19,19,19
CarlosLINAREZ,22,21,21,21,21,19,19,15,15,13,13,11,9,8,8,7
PawelBRYLOWSKI,20,22,22,22,22,22,22,22,22,20,19,17,15,15,14,14
NikiasARNDT,3,2,2,3,3,5,5,5,5,5,4,4,4,4,3,3
DominiqueCORNU,8,8,3,2,2,2,2,2,2,2,3,3,2,2,2,2
JulienMORICE,2,3,4,4,5,4,4,4,4,4,6,6,7,7,7,8
BerikKUPESHOV,15,17,18,18,20,21,21,21,21,21,21,21,21,21,22,22
VladimirTUYCHIEV,16,19,19,19,19,20,20,20,20,22,22,22,22,22,21,21
ClaudioIMHOF,18,20,21,21,21,21,20,20,20,20,20,20,19,17,17,17
GeraintTHOMAS,3,4,4,5,3,3,3,2,2,4,4,4,4,4,4,5
StefanSCHAEFER,17,14,13,12,13,14,15,16,16,16,16,16,16,16,16,16
CasperFOLSACH,21,21,20,19,19,18,18,17,15,15,15,14,14,14,14,13
LeviHEIMANS,7,9,12,13,14,13,12,12,12,12,12,10,10,10,10,12
EdisonBRAVO,20,19,19,20,20,20,21,21,21,21,21,21,21,21,20,19
SebastianMORA,13,12,9,9,8,9,10,10,10,10,10,12,13,15,15,15
DiasOMIRZAKOV,2,7,11,14,15,15,17,18,18,18,18,18,18,19,19,18
IngmarDE,19,18,18,17,16,16,14,13,13,13,14,15,15,13,12,10
WestleyGOUGH,15,11,6,6,6,6,6,6,6,6,6,6,5,5,5,4
SunjaeJANG,9,16,16,16,17,17,16,14,14,14,13,13,12,12,13,14
TimVELDT,5,6,7,8,11,12,13,15,17,17,17,17,17,18,18,20
KevinLABEQUE,10,10,10,10,9,10,9,9,9,9,9,9,9,9,9,9
ValeryKAYKOV,16,13,14,15,12,11,11,11,11,11,11,11,11,11,11,11
LokCHEUNG,12,17,17,18,18,19,19,19,19,19,19,19,20,20,21,21
RohanDENNIS,1,1,3,4,5,5,5,4,4,3,3,3,3,3,3,3
DominiqueCORNU,6,3,2,2,2,2,2,5,5,5,5,5,6,6,7,7
