@relation MenKiloPlaces
@attribute name string
@attribute Lap1 numeric
@attribute Lap2 numeric
@attribute Lap3 numeric
@attribute Lap4 numeric
@data
ChongyangWANG,20,19,16,14
ChristianRANNERIES,19,21,20,19
RobsonDIAS,21,20,19,17
GregoryHUGENTOBLER,17,15,15,16
HafizSUFIAN,16,17,17,18
KonstantinosKARAGEORGOS,7,12,13,12
ClemensSELZER,14,14,14,15
DavidASKURAVA,2,7,11,10
YudaiNITTA,15,13,12,8
FrancescoCECI,12,6,3,4
TomasBABEK,9,10,8,6
AdrianTEKLINSKI,10,11,10,9
YevhenBOLIBRUKH,6,4,9,13
ThomasBONAFOS,1,1,1,2
DavidDANIELL,8,8,6,7
QuentinLAFARGUE,3,2,2,1
StefanNIMKE,4,5,5,5
"21,Nov",9,10,10,11
EthanMITCHELL,13,13,13,13
SyamilBAHRUM Muhammad,7,7,8,8
JinKANG Dong,10,11,12,12
TakashiSAKAMOTO,5,6,6,6
GiddeonMASSIE,4,5,7,5
ClemensSELZER,3,3,4,7
SaschaHUBNER,1,1,1,3
"21,Nov",8,8,9,9
TeunMULDER,12,12,11,10
ThomasBONAFOS,2,2,2,1
FrancescoCECI,6,4,3,4
ScottSUNDERLAND,11,9,5,2
MyronSIMPSON,22,22,22,19
PhilipNIELSEN,23,23,23,23
ReneENDERS,1,3,8,12
FrancescoCECI,20,20,21,22
NikolayZHURKIN,21,21,20,17
EthanMITCHELL,16,13,13,15
DavidALONSO CASTILLO,13,12,11,9
AdrianTEKLINSKI,18,19,18,18
QuentinLAFARGUE,17,16,14,13
TeunMULDER,2,1,1,1
MiaoZHANG,9,6,5,6
ClemensSELZER,7,14,17,21
EdwardDAWKINS,15,9,7,5
FrancoisPERVIS,3,4,3,3
JoachimEILERS,14,18,19,16
KamilKUCZYNSKI,6,10,12,11
YudaiNITTA,11,15,16,20
YevgenBOLIBRUKH,10,11,10,10
DavidDANIELL,5,5,4,7
ScottSUNDERLAND,8,7,9,8
ChongyangWANG,19,17,15,14
MichaelD'ALMEIDA,4,2,2,2
StefanNIMKE,12,8,6,4
MiaoZHANG,9,4,1,1
AllanLEPARSKAS,21,22,22,22
HodeiMAZQUIARAN URIA,16,19,19,20
NikiBYRGESEN,28,28,28,28
TingKWOK Ho,27,27,26,25
LokCHEUNG King,20,20,20,21
HungWU Po,26,25,24,24
KonstantinKUPERASOV,23,24,25,27
AdriaSABATE MASIP,25,26,27,26
OscarEZKER MARTIN,22,21,23,23
MichaelTHOMSON,24,23,21,19
MartynIRVINE,10,9,13,14
HafizSUFIAN,1,1,4,16
ThierryJOLLET,13,16,17,17
TimVELDT,17,18,18,18
SergeyPOLYNSKIY,18,13,15,13
DavidASKURAVA,19,17,16,15
AntonLAPSHINAU,12,11,6,6
LucaCECI,2,2,3,3
FilipDITZEL,6,5,2,2
KamilKUCZYNSKI,3,3,5,11
JoachimEILERS,15,14,10,4
GiddeonMASSIE,8,8,11,12
EdwardDAWKINS,4,7,7,9
QuentinLAFARGUE,11,12,9,10
ClemensSELZER,7,10,12,7
YevgenBOLIBRUKH,14,15,14,5
YudaiNITTA,5,6,8,8
QhairantAMRAN Muhd Arfy,20,20,20,20
KamilKUCZYNSKI,10,9,12,13
AndreyKUBEEV,16,13,9,8
ZapataFABIAN HERNANDO Puerta,14,11,10,12
YevhenBOLIBRUKH,12,12,13,14
RamiroPULGAR ARAUJO Angel,7,16,18,18
JoachimEILERS,4,5,5,5
RizalTISIN Mohd,15,15,11,11
FrancescoCECI,19,19,19,19
YudaiNITTA,9,10,15,16
SimonVAN VELTHOOVEN,13,14,14,17
NikolayZHURKIN,8,7,6,6
QuentinLAFARGUE,2,6,7,9
HugoHAAK,17,18,17,15
AdrianTEKLINSKI,11,8,8,7
TomasBABEK,18,17,16,10
EdwardDAWKINS,5,3,3,1
StefanNIMKE,3,2,2,3
FrancoisPERVIS,6,4,4,4
MichaelD'ALMEIDA,1,1,1,2
SergioALIAGA,9,10,11,12
HaoLIU,14,14,14,10
AndreyKUBEEV,12,12,10,9
BernardESTERHUIZEN,3,2,4,8
