ValentinSAVITSKIY,Lap-2-Place-0,Lap-3-Place--2,Lap-4-Place--2
RizalTISIN Mohd,Lap-2-Place-+2,Lap-3-Place-+4,Lap-4-Place-+1
RomanKONONENKO,Lap-2-Place-0,Lap-3-Place-0,Lap-4-Place-0
ThierryJOLLET,Lap-2-Place-0,Lap-3-Place--1,Lap-4-Place--2
FrancoisPERVIS,Lap-2-Place-+1,Lap-3-Place-0,Lap-4-Place--1
HaoLI Wen,Lap-2-Place-0,Lap-3-Place-0,Lap-4-Place-+1
KamilKUCZYNSKI,Lap-2-Place-0,Lap-3-Place-+1,Lap-4-Place-0
MichaelTHOMSON,Lap-2-Place-0,Lap-3-Place-+2,Lap-4-Place-0
DeivyCAPELLAN ALMONTE,Lap-2-Place--2,Lap-3-Place--3,Lap-4-Place-0
MartynIRVINE,Lap-2-Place-0,Lap-3-Place-+1,Lap-4-Place-+3
NikolayZHURKIN,Lap-2-Place-0,Lap-3-Place--1,Lap-4-Place-+4
HernandoPUERTA ZAPATA Fabian,Lap-2-Place-+5,Lap-3-Place-+3,Lap-4-Place-0
LucaCECI,Lap-2-Place-+1,Lap-3-Place-0,Lap-4-Place-+2
CristopherMANSILLA,Lap-2-Place--3,Lap-3-Place-0,Lap-4-Place-0
StephaneCOSSETTE,Lap-2-Place-+2,Lap-3-Place--1,Lap-4-Place--4
CarlosCARRASCO,Lap-2-Place-0,Lap-3-Place-+2,Lap-4-Place-0
MathiasSTUMPF,Lap-2-Place-0,Lap-3-Place--2,Lap-4-Place--4
SergioALIAGA CHIVITE,Lap-2-Place-0,Lap-3-Place-0,Lap-4-Place--1
FrancoisPERVIS,Lap-2-Place--1,Lap-3-Place-0,Lap-4-Place-0
VasileiosREPPAS,Lap-2-Place--1,Lap-3-Place--2,Lap-4-Place--3
YorickBOS,Lap-2-Place--4,Lap-3-Place--2,Lap-4-Place--2
MichaelD'ALMEIDA,Lap-2-Place-+1,Lap-3-Place-0,Lap-4-Place-0
DavidALONSO CASTILLO,Lap-2-Place--1,Lap-3-Place-+1,Lap-4-Place--1
YevhenBOLIBRUKH,Lap-2-Place-+1,Lap-3-Place-+1,Lap-4-Place-0
YudaiNITTA,Lap-2-Place--2,Lap-3-Place--1,Lap-4-Place-+4
TomasBABEK,Lap-2-Place-+4,Lap-3-Place-+2,Lap-4-Place-+2
PaulHEALION,Lap-2-Place-0,Lap-3-Place-0,Lap-4-Place-+3
AdrianTEKLINSKI,Lap-2-Place--1,Lap-3-Place-+1,Lap-4-Place-0
RistoAALTIO,Lap-2-Place-+1,Lap-3-Place-+1,Lap-4-Place-0
IbanLEANIZBARRUTIA CRUZ,Lap-2-Place-+1,Lap-3-Place--3,Lap-4-Place-0
OriolMARTINEZ,Lap-2-Place--7,Lap-3-Place--3,Lap-4-Place--4
CarlosVERA LOPEZ,Lap-2-Place--4,Lap-3-Place--2,Lap-4-Place-0
ClemensSELZER,Lap-2-Place-0,Lap-3-Place--2,Lap-4-Place-0
YevhenBOLIBRUKH,Lap-2-Place-0,Lap-3-Place-0,Lap-4-Place--2
YushoOIKAWA,Lap-2-Place--3,Lap-3-Place-0,Lap-4-Place-0
AzikiweKELLAR,Lap-2-Place--1,Lap-3-Place-+1,Lap-4-Place--3
EugenWACKER,Lap-2-Place-0,Lap-3-Place-+1,Lap-4-Place-0
TaylorPHINNEY,Lap-2-Place-+6,Lap-3-Place-+2,Lap-4-Place-+7
JuanPERALTA GASCON,Lap-2-Place-0,Lap-3-Place-0,Lap-4-Place-0
IharHOVAR,Lap-2-Place-0,Lap-3-Place-+1,Lap-4-Place-+2
QuentinLAFARGUE,Lap-2-Place--3,Lap-3-Place-+3,Lap-4-Place-+1
JavierAZKUE PRIETO,Lap-2-Place-+1,Lap-3-Place-+2,Lap-4-Place-+1
ChristianRANNERIES,Lap-2-Place-+2,Lap-3-Place-+2,Lap-4-Place-+1
SaschaHUBNER,Lap-2-Place-0,Lap-3-Place--7,Lap-4-Place-0
TimVELDT,Lap-2-Place--3,Lap-3-Place-+1,Lap-4-Place-+1
FilipDITZEL,Lap-2-Place-+1,Lap-3-Place--1,Lap-4-Place-+1
ValentinSAVITSKIY,Lap-2-Place-0,Lap-3-Place-0,Lap-4-Place--2
GaddyCHAID,Lap-2-Place-+3,Lap-3-Place-0,Lap-4-Place-0
DavidALONSO CASTILLO,Lap-2-Place-+1,Lap-3-Place-+1,Lap-4-Place-+1
FrancoisPERVIS,Lap-2-Place-0,Lap-3-Place--1,Lap-4-Place--5
DavidDANIELL,Lap-2-Place-+4,Lap-3-Place--1,Lap-4-Place--3
MichaelD'ALMEIDA,Lap-2-Place-+2,Lap-3-Place-+4,Lap-4-Place--1
KamilKUCZYNSKI,Lap-2-Place-0,Lap-3-Place-0,Lap-4-Place-+2
JavierAZKUE PRIETO,Lap-2-Place-0,Lap-3-Place-0,Lap-4-Place-+1
SergioALIAGA CHIVITE,Lap-2-Place--3,Lap-3-Place--2,Lap-4-Place--2
AzikiweKELLAR,Lap-2-Place-0,Lap-3-Place--3,Lap-4-Place--1
