@relation WomenIPPlaces
@attribute name string
@attribute Lap1 numeric
@attribute Lap2 numeric
@attribute Lap3 numeric
@attribute Lap4 numeric
@attribute Lap5 numeric
@attribute Lap6 numeric
@attribute Lap7 numeric
@attribute Lap8 numeric
@attribute Lap9 numeric
@attribute Lap10 numeric
@attribute Lap11 numeric
@attribute Lap12 numeric
@data
ReumNA Ah,18,15,14,12,10,10,10,11,11,11,11,12
VaidaPIKAUSKAITE,4,8,13,16,17,19,19,19,20,20,20,19
DeboraGALVEZ LOPEZ,16,17,18,18,19,20,20,20,19,19,19,20
FanJIANG,15,18,16,14,13,13,12,13,12,10,10,10
CharlotteBECKER,6,9,10,11,11,12,14,15,15,15,16,16
EllenVAN DIJK,11,10,8,7,5,5,5,5,5,5,5,5
VerenaJOOS,5,12,17,20,20,18,16,16,16,16,15,14
JamieWONG Wan Yiu,22,22,22,22,22,22,22,22,22,22,22,22
PascaleSCHNIDER,17,16,15,17,16,15,15,14,14,13,12,11
SarahKENT,19,14,11,10,9,8,8,8,9,12,13,13
ElissavetCHANTZI,14,19,20,19,18,17,18,17,17,17,17,17
DalilaRODRIGUEZ HERNANDEZ,7,11,9,9,8,9,9,10,13,14,14,15
VeraKOEDOODER,13,13,12,13,12,11,11,9,8,9,9,8
SarahHAMMER,12,7,7,3,2,1,1,1,1,1,1,1
VilijaSEREIKAITE,1,1,1,1,1,2,3,4,4,4,4,4
LesyaKALITOVSKA,10,4,4,6,7,6,6,6,6,6,6,6
WendyHOUVENAGHEL,8,5,2,2,3,4,4,3,3,2,2,2
AusrineTREBAITE,2,2,5,8,14,16,17,18,18,18,18,18
AlisonSHANKS,9,6,6,4,4,3,2,2,2,3,3,3
TaraWHITTEN,3,3,3,5,6,7,7,7,7,7,8,9
SofiaARREOLA NAVARRO,6,7,7,7,8,8,9,11,11,11,10,10
SarahKENT,4,5,5,5,4,4,4,4,4,4,4,4
OlatzFERRAN ZUBILLAGA,16,15,15,16,16,15,15,15,16,17,17,17
FanJIANG,5,6,6,6,6,6,6,7,7,7,8,9
ReumNA Ah,10,12,11,8,7,7,7,6,5,5,5,5
CuiWANG,15,16,16,15,15,16,16,17,17,16,16,16
LisaBRENNAUER,12,10,8,10,9,10,10,10,10,10,11,11
FionaDUTRIAUX,11,13,14,14,14,14,14,14,14,14,14,13
SvitlanaGALYUK,14,14,9,9,10,11,12,12,12,13,13,14
PascaleSCHNIDER,3,3,3,4,5,5,5,5,6,6,7,7
VictoriaKONDEL,9,9,12,12,12,13,13,13,13,12,12,12
DalilaRODRIGUEZ HERNANDEZ,8,8,10,11,11,9,8,8,9,9,9,8
YiuWONG Wan,17,17,17,17,17,17,17,16,15,15,15,15
AlisonSHANKS,7,4,4,3,3,2,1,1,1,1,1,1
VeraKOEDOODER,13,11,13,13,13,12,11,9,8,8,6,6
VilijaSEREIKAITE,1,1,1,1,1,1,2,2,2,2,2,2
TaraWHITTEN,2,2,2,2,2,3,3,3,3,3,3,3
GloriaRODRIGUEZ SANCHEZ,13,19,19,18,18,17,15,15,14,13,11,11
IsabellaKING,14,12,14,14,14,14,14,12,12,11,12,10
OlatzFERRAN ZUBILLAGA,6,14,18,19,19,20,20,20,20,20,20,20
MartaBASTIANELLI,17,18,17,17,17,18,17,16,16,16,16,15
AnnaNAHIRNA,11,13,13,13,13,13,13,14,13,14,14,14
SerikaGULUMA,19,15,12,12,12,12,11,11,11,12,13,13
GiuseppinaGRASSI HERRERA,16,16,15,16,15,15,16,17,17,17,17,17
IrinaMOLICHEVA,8,6,8,8,8,11,12,13,15,15,15,16
EdytaJASINSKA,15,11,10,10,10,10,10,10,10,10,10,12
CarolineRYAN,6,5,5,4,4,3,3,3,3,3,3,4
LisaBRENNAUER,9,9,7,6,6,6,7,7,6,6,6,5
JessieDAAMS,18,20,20,20,20,19,19,19,19,19,18,18
AudeBIANNIC,12,10,11,11,11,9,9,9,8,7,7,7
MeganHOTTMAN,20,17,16,15,16,16,18,18,18,18,19,19
VaidaPIKAUSKAITE,1,2,3,5,5,5,5,8,9,9,9,9
PascaleSCHNIDER,4,8,9,9,9,8,8,6,4,4,4,3
AlisonSHANKS,2,4,4,3,2,2,1,1,1,1,1,1
YudelmisDOMINGUEZ MASAGUE,5,3,2,2,3,4,4,4,7,8,8,8
WendyHOUVENAGHEL,3,1,1,1,1,1,2,2,2,2,2,2
AksanaPAPKO,9,7,6,7,7,7,6,5,5,5,5,6
MarliesMEJIAS GARCIA,5,4,4,4,4,4,5,5,6,6,6,6
